onset	duration	value	accuracy	response_time	trial_type
4.013	6.886	E	1	2192	vowcon_na
10.998	5.401	e	1	940	vowcon_repeat
16.5	5.399	T	1	1221	vowcon_repeat
22.001	7.398	a	1	1274	vowcon_repeat
29.503	7.396	R	1	1464	upplow_switch
37.005	6.394	E	1	1240	upplow_repeat
43.507	4.392	T	1	1886	vowcon_switch
48.009	5.89	A	1	1464	vowcon_repeat
54.01	8.889	u	1	1931	upplow_switch
62.998	3.901	U	1	1146	vowcon_switch
66.998	3.401	F	1	1075	vowcon_repeat
70.498	8.901	t	1	1485	upplow_switch
79.501	5.898	I	1	1518	vowcon_switch
85.503	5.896	U	1	1189	upplow_switch
91.504	6.395	t	1	1214	vowcon_switch
98.006	7.393	M	1	1562	vowcon_repeat
105.508	4.391	R	1	1040	upplow_switch
110.01	7.889	M	1	1210	upplow_repeat
118.012	4.887	r	1	1145	vowcon_switch
122.998	9.401	T	1	896	upplow_switch
132.499	5.9	e	1	2138	upplow_repeat
138.501	6.398	I	1	922	upplow_repeat
145.003	6.396	R	1	1120	upplow_repeat
151.505	5.894	A	1	1085	vowcon_switch
157.507	6.892	R	1	1253	upplow_switch
164.509	7.89	F	1	920	upplow_repeat
172.511	5.388	+	NA	0	_fix
178.013	3.886	a	1	1634	upplow_repeat
181.998	5.401	E	1	1209	vowcon_switch
187.499	8.4	r	1	1009	vowcon_repeat
196.001	5.898	f	1	987	vowcon_repeat
202.003	3.396	i	1	1323	upplow_switch
205.504	6.395	m	1	1115	vowcon_switch
212.006	5.393	u	1	1788	vowcon_repeat
217.507	5.892	I	1	1185	vowcon_repeat
223.509	7.89	e	1	915	vowcon_repeat
231.511	6.388	+	NA	0	_fix
237.998	8.401	a	1	1667	upplow_switch
246.499	4.4	I	1	1000	upplow_repeat
251	8.899	r	1	875	vowcon_switch
260.003	5.396	r	1	1426	upplow_switch
265.504	6.895	f	1	1027	upplow_repeat
272.506	6.893	u	1	1239	vowcon_switch
279.508	6.891	m	1	854	upplow_switch
286.51	6.889	r	1	892	upplow_repeat
293.512	9.387	F	1	1694	vowcon_switch
302.998	9.401	R	1	1668	upplow_switch
312.501	3.898	u	1	2254	upplow_repeat
316.502	7.397	a	1	1014	upplow_repeat
324.004	4.395	e	1	819	vowcon_switch
328.506	8.893	m	1	1192	vowcon_repeat
337.508	8.391	E	1	1783	upplow_switch
346.011	4.888	+	NA	0	_fix
351.012	8.387	A	1	1825	upplow_repeat
359.498	7.401	E	1	1136	upplow_repeat
367	7.399	r	1	1406	vowcon_switch
374.502	6.397	i	1	1469	upplow_switch
381.004	3.895	f	1	817	upplow_repeat
385.005	7.894	+	NA	0	_fix
393.007	3.392	u	1	1354	upplow_repeat
396.508	3.391	i	1	1274	vowcon_switch
400.009	4.89	R	1	1242	vowcon_repeat
405.011	6.388	M	1	1883	upplow_switch
411.513	6.886	t	1	1089	upplow_repeat
418.498	4.901	A	1	997	vowcon_switch
423.499	9.4	+	NA	0	_fix
