onset	duration	value	accuracy	response_time	trial_type
3.998	1.201	C	1	0	first_nogo
5.298	1.401	X	1	393	first_go
6.798	1.701	X	1	402	first_go
8.599	1.5	G	1	0	first_nogo
10.199	1.6	X	1	417	first_go
11.9	1.499	+	NA	0	first_fix
13.5	1.299	X	1	428	first_go
14.901	1.498	+	NA	0	first_fix
16.501	1.298	X	1	387	first_go
17.902	1.497	X	1	438	first_go
19.502	1.597	I	1	0	first_nogo
21.203	1.596	M	1	0	first_nogo
22.903	1.796	E	1	0	first_nogo
24.804	1.495	X	1	381	first_go
26.404	1.595	X	1	337	first_go
28.105	1.394	X	1	371	first_go
29.605	1.594	X	1	405	first_go
31.305	1.394	X	1	366	first_go
32.806	1.193	+	NA	0	first_fix
34.106	1.393	Q	1	0	first_nogo
35.607	1.692	X	1	421	first_go
37.407	1.692	P	1	0	first_nogo
39.208	1.391	X	1	364	first_go
40.708	1.591	X	1	357	first_go
42.409	1.19	+	NA	0	first_fix
43.709	1.19	X	1	391	first_go
45.009	1.49	O	1	0	first_nogo
46.61	1.189	X	1	348	first_go
47.91	1.289	X	1	360	first_go
49.311	1.388	X	1	360	first_go
50.811	1.588	X	1	357	first_go
52.512	1.387	X	1	398	first_go
54.012	1.787	J	1	0	first_nogo
55.912	1.687	X	1	499	first_go
57.698	1.501	X	1	352	first_go
59.298	1.201	X	1	376	first_go
60.598	1.701	X	1	345	first_go
62.398	1.401	X	1	336	first_go
63.898	1.601	F	1	0	first_nogo
65.599	1.5	E	1	0	first_nogo
67.199	1.2	X	1	389	first_go
68.499	1.8	X	1	358	first_go
70.4	1.599	L	1	0	first_nogo
72.1	1.699	X	1	397	first_go
73.901	1.798	X	1	382	first_go
75.802	1.697	X	1	351	first_go
77.602	1.697	D	1	0	first_nogo
79.403	1.196	J	1	0	first_nogo
80.703	1.296	+	NA	0	first_fix
82.103	1.396	X	1	401	first_go
83.604	1.195	X	1	343	first_go
84.904	1.295	X	1	334	first_go
86.305	1.194	S	1	0	first_nogo
87.605	1.394	X	1	466	first_go
89.105	1.694	X	1	335	first_go
90.906	1.293	X	1	375	first_go
92.306	1.393	X	1	329	first_go
93.807	1.292	X	1	392	first_go
95.207	1.692	X	1	372	first_go
97.008	1.191	X	1	362	first_go
98.308	1.291	X	1	321	first_go
99.708	1.491	X	1	304	first_go
101.309	1.79	P	1	0	first_nogo
103.209	1.19	X	1	418	first_go
104.51	1.689	B	1	0	first_nogo
106.31	1.689	D	1	0	first_nogo
108.111	1.288	X	1	355	first_go
109.511	1.388	R	1	0	first_nogo
111.012	1.487	X	1	344	first_go
112.612	1.587	X	1	320	first_go
114.313	1.486	X	1	357	first_go
115.898	1.801	X	1	337	first_go
117.798	1.601	X	1	460	first_go
119.498	1.501	T	1	0	first_nogo
121.098	1.801	X	1	369	first_go
122.998	1.301	+	NA	0	first_fix
124.399	1.5	A	1	0	first_nogo
125.999	1.8	X	1	365	first_go
127.9	1.199	X	1	361	first_go
129.2	1.699	Q	1	0	first_nogo
131.001	1.298	X	1	351	first_go
132.401	1.198	X	1	344	first_go
