onset	duration	value	accuracy	response_time	trial_type
4.007	3.392	E	1	1896	vowcon_na
7.508	5.891	e	1	1232	vowcon_repeat
13.509	5.39	T	1	992	vowcon_repeat
19.011	7.888	a	1	1052	vowcon_repeat
26.998	7.901	R	1	1708	upplow_switch
34.999	5.9	E	1	1464	upplow_repeat
41	8.899	T	1	1221	vowcon_switch
50.003	7.396	A	1	1914	vowcon_repeat
57.505	5.394	u	1	1954	upplow_switch
63.007	8.392	U	1	1738	vowcon_switch
71.509	4.89	F	1	1321	vowcon_repeat
76.511	5.888	t	1	1328	upplow_switch
82.512	5.387	I	1	1385	vowcon_switch
87.998	4.401	U	1	1410	upplow_switch
92.499	6.4	t	1	1191	vowcon_switch
99	5.399	M	1	1178	vowcon_repeat
104.502	5.897	R	1	1789	upplow_switch
110.504	7.395	M	1	1484	upplow_repeat
118.006	4.893	r	1	1277	vowcon_switch
123.007	6.892	T	1	1309	upplow_switch
130.009	9.39	e	1	1181	upplow_repeat
139.512	8.887	I	1	2038	upplow_repeat
148.498	3.401	R	1	1163	upplow_repeat
151.999	8.9	A	1	1534	vowcon_switch
161.001	6.898	R	1	915	upplow_switch
168.003	6.396	F	1	738	upplow_repeat
174.505	7.394	+	NA	0	_fix
182.007	8.392	a	1	1505	upplow_repeat
190.51	3.889	E	1	1543	vowcon_switch
194.511	4.888	r	1	1120	vowcon_repeat
199.512	7.387	f	1	1053	vowcon_repeat
206.998	6.401	i	1	1608	upplow_switch
213.5	7.399	m	1	999	vowcon_switch
221.002	8.397	u	1	1731	vowcon_repeat
229.504	5.895	I	1	2351	vowcon_repeat
235.506	4.893	e	1	1103	vowcon_repeat
240.508	6.891	+	NA	0	_fix
247.51	6.889	a	1	1686	upplow_switch
254.512	5.887	I	1	1128	upplow_repeat
260.498	9.401	r	1	1085	vowcon_switch
269.999	9.4	r	1	1104	upplow_switch
279.502	3.897	f	1	1184	upplow_repeat
283.503	3.396	u	1	1193	vowcon_switch
287.004	3.895	m	1	870	upplow_switch
291.005	6.394	r	1	962	upplow_repeat
297.507	6.392	F	1	1400	vowcon_switch
304.009	7.39	R	1	1315	upplow_switch
311.511	8.388	u	1	1208	upplow_repeat
319.998	6.401	a	1	1521	upplow_repeat
326.499	4.4	e	1	1387	vowcon_switch
331	4.399	m	1	915	vowcon_repeat
335.501	7.898	E	1	1263	upplow_switch
343.504	6.895	+	NA	0	_fix
350.506	6.893	A	1	1170	upplow_repeat
357.508	8.891	E	1	1060	upplow_repeat
366.51	6.889	r	1	1061	vowcon_switch
373.512	7.887	i	1	1903	upplow_switch
381.498	3.401	f	1	859	upplow_repeat
384.999	6.4	+	NA	0	_fix
391.501	5.398	u	1	1340	upplow_repeat
397.002	5.897	i	1	1285	vowcon_switch
403.004	4.395	R	1	1742	vowcon_repeat
407.505	9.394	M	1	1044	upplow_switch
417.008	5.391	t	1	1295	upplow_repeat
422.51	6.389	A	1	1891	vowcon_switch
429.011	3.888	+	NA	0	_fix
